lineup_id,P,C1B,2B,3B,SS,OF1,OF2,OF3,UTIL
423,p1,c1,b2a,b3b,ss2,of3,of5,of2,ss1
424,p2,c1,b2b,b3a,ut3,of1,of5,of3,ss1
425,p2,ut1,b2b,b3b,ss1,of1,of4,of2,ut3
426,p2,c1,b2b,b3b,ss2,of3,of4,of2,of5
427,p2,ut1,b2b,b3b,ss2,of4,of1,of5,c2
428,p1,c1,b2b,b3b,ss2,of3,of4,of2,b2a
429,p2,ut1,b2b,b3b,ss2,of2,of1,of4,ut3
430,p2,c1,b2b,b3b,ss1,of1,of2,of4,of3
431,p2,c1,b2b,b3b,ss2,of2,of1,of4,ut3
432,p2,c1,b2a,b3a,ss2,of2,of4,of5,b3b
433,p2,c2,b2a,b3b,ut3,of2,of4,of1,ss2
434,p1,ut1,b2b,b3a,ss2,of2,of3,of5,ss1
435,p1,c2,b2a,b3a,ss1,of1,of4,of3,ut1
436,p2,c1,b2b,b3a,ut3,of4,of2,of5,ss1
437,p1,c1,b2b,b3b,ss2,of3,of1,of4,c2
438,p1,c2,b2b,b3a,ss1,of2,of3,of1,ut2
439,p1,ut1,b2b,b3a,ut3,of2,of3,of5,ss1
440,p2,c2,b2b,b3a,ss1,of1,of2,of4,of3
441,p1,c1,b2b,b3a,ss2,of4,of1,of2,ut1
442,p1,ut1,b2a,b3a,ss1,of2,of5,of4,of3
443,p2,ut1,ut2,b3a,ss1,of1,of2,of5,ss2
444,p1,c2,b2a,b3b,ss2,of4,of5,of3,b3a
445,p2,c1,b2a,b3a,ss1,of1,of5,of3,ss2
446,p1,c1,b2a,b3a,ss1,of2,of3,of5,b2b
447,p1,c1,b2b,b3b,ss2,of1,of5,of3,ut1
448,p2,ut1,b2a,b3a,ss1,of2,of1,of4,b2b
449,p2,c2,b2a,b3a,ss1,of2,of4,of5,ss2
450,p2,c2,b2a,b3b,ss1,of3,of4,of1,ss2
451,p2,ut1,ut2,b3b,ss2,of4,of2,of3,ss1
452,p2,c1,b2a,b3b,ss1,of1,of2,of4,ut1
453,p1,c1,b2b,b3b,ss2,of1,of4,of5,b3a
454,p1,c2,b2a,b3b,ut3,of1,of5,of3,ut1
455,p1,c1,b2b,b3b,ss2,of1,of2,of3,ut1
456,p2,ut1,b2b,b3a,ss2,of4,of1,of5,of3
457,p1,c1,b2b,b3b,ss2,of2,of4,of1,c2
458,p2,c1,b2a,b3a,ss2,of2,of5,of1,ut3
459,p1,c1,ut2,b3a,ss1,of2,of5,of4,of1
460,p2,c2,b2a,b3a,ss1,of1,of3,of5,of4
461,p1,ut1,b2b,b3b,ss2,of3,of2,of4,c1
462,p1,c1,b2a,b3a,ss1,of2,of4,of5,b2b
463,p1,c1,b2a,b3b,ss2,of2,of5,of4,c2
464,p1,c2,b2a,b3b,ss1,of3,of5,of2,ut3
465,p2,ut1,ut2,b3b,ut3,of2,of4,of1,c1
466,p1,c1,b2b,b3a,ss1,of2,of3,of5,c2
467,p1,ut1,b2b,b3b,ss1,of2,of5,of4,of3
468,p2,c2,b2a,b3a,ss1,of1,of4,of2,b2b
469,p2,c2,ut2,b3b,ut3,of3,of5,of1,c1
470,p2,c2,b2b,b3b,ss2,of1,of4,of2,of5
471,p1,c2,ut2,b3a,ss2,of1,of4,of5,ss1
472,p2,c1,b2b,b3a,ss2,of1,of5,of3,b3b
473,p2,c2,b2b,b3a,ss1,of2,of5,of4,ss2
474,p1,c1,ut2,b3b,ss1,of2,of4,of5,b3a
475,p1,c1,ut2,b3a,ss2,of1,of2,of5,ss1
476,p1,ut1,b2b,b3b,ss2,of2,of1,of3,ut3
477,p2,ut1,b2b,b3a,ss2,of1,of2,of4,ut3
478,p1,c2,b2b,b3b,ut3,of1,of4,of2,of5
479,p2,ut1,b2b,b3b,ss2,of4,of1,of5,of3
480,p2,c1,b2a,b3a,ss1,of2,of4,of5,c2
481,p1,c1,ut2,b3b,ss2,of3,of1,of4,of2
482,p2,c2,b2a,b3a,ss1,of5,of3,of2,of4
483,p1,c1,b2a,b3b,ss1,of2,of3,of5,b2b
484,p1,ut1,b2a,b3a,ss1,of2,of1,of3,ut2
485,p2,c1,ut2,b3b,ss2,of3,of1,of2,b2a
486,p1,ut1,ut2,b3b,ss2,of2,of1,of3,ut3
487,p1,c1,ut2,b3b,ss2,of2,of1,of4,b2a
488,p1,c1,ut2,b3b,ss2,of2,of5,of4,ss1
489,p1,c2,ut2,b3b,ss1,of2,of3,of5,b3a
490,p1,ut1,b2a,b3a,ss1,of5,of1,of3,ut2
491,p2,c1,ut2,b3a,ss1,of2,of4,of5,c2
492,p1,c1,ut2,b3b,ss2,of2,of5,of4,b2a
493,p2,c1,ut2,b3b,ss1,of1,of3,of2,ut1
494,p1,c1,b2b,b3b,ss2,of1,of4,of5,b2a
495,p2,c2,b2a,b3b,ss2,of4,of5,of1,ss1
496,p2,c1,b2b,b3a,ss2,of1,of2,of4,ss1
497,p2,c2,ut2,b3b,ss1,of3,of4,of1,of2
498,p2,ut1,ut2,b3a,ut3,of2,of5,of1,c1
499,p2,c2,b2a,b3b,ss1,of3,of1,of5,c1
500,p1,c1,ut2,b3b,ss2,of3,of4,of2,of5
501,p2,c1,b2a,b3b,ss1,of5,of2,of4,ut2
502,p1,c2,ut2,b3a,ss1,of3,of1,of4,b2b
503,p2,c1,b2b,b3b,ut3,of2,of5,of3,ut2
504,p2,c2,b2b,b3b,ss1,of4,of5,of3,ss2
505,p2,c1,ut2,b3a,ss1,of1,of3,of4,of5
506,p2,ut1,ut2,b3b,ut3,of3,of2,of1,c1
507,p1,ut1,b2a,b3b,ss2,of2,of4,of5,ut3
508,p2,ut1,b2a,b3a,ut3,of1,of4,of2,ss2
509,p1,ut1,b2a,b3a,ut3,of2,of1,of3,ut2
510,p1,c1,ut2,b3b,ss2,of3,of4,of2,ut1
511,p2,c2,b2b,b3b,ss1,of1,of2,of3,c1
512,p1,c2,b2a,b3b,ut3,of1,of4,of2,of3
513,p1,c2,b2a,b3a,ss1,of1,of3,of2,ut1
514,p1,ut1,b2b,b3b,ss2,of5,of4,of1,c2
515,p2,c1,ut2,b3a,ss2,of1,of5,of3,ss1
516,p2,c1,b2a,b3b,ss1,of1,of3,of2,of5
517,p1,ut1,b2a,b3b,ut3,of2,of4,of3,of5
518,p1,c1,b2b,b3a,ut3,of2,of5,of4,c2
519,p2,c2,b2b,b3a,ss1,of3,of5,of4,ss2
520,p2,c1,b2a,b3b,ut3,of4,of5,of1,ut1
521,p1,ut1,b2b,b3a,ss2,of3,of5,of4,c1
522,p2,c1,b2b,b3a,ss2,of4,of3,of5,ss1
523,p2,ut1,b2a,b3b,ss1,of1,of4,of3,ut3
524,p1,c2,b2a,b3a,ss1,of1,of3,of5,ut1
525,p2,c1,ut2,b3b,ss2,of1,of2,of5,ss1
526,p2,c1,ut2,b3b,ss1,of1,of4,of2,ss2
527,p2,ut1,b2b,b3b,ss2,of2,of4,of5,b3a
528,p2,c2,b2b,b3b,ss2,of3,of2,of4,c1
529,p1,c2,ut2,b3a,ss1,of5,of1,of4,b2b
530,p1,ut1,b2b,b3a,ss2,of1,of2,of4,ut3
531,p2,c2,b2a,b3b,ss2,of1,of5,of2,c1
532,p1,c1,b2a,b3b,ss2,of1,of5,of4,c2
533,p1,c1,b2b,b3a,ss2,of1,of4,of3,ss1
534,p1,c2,b2a,b3b,ut3,of1,of5,of4,ut1
535,p1,ut1,ut2,b3b,ss2,of2,of1,of3,of5
536,p2,c1,b2a,b3b,ss2,of1,of5,of4,b3a
537,p1,c2,b2a,b3a,ss2,of1,of5,of3,ut1
538,p1,c2,b2a,b3a,ut3,of3,of1,of5,b2b
539,p2,c2,b2a,b3b,ss2,of1,of3,of2,ut1
540,p2,c2,b2b,b3a,ss1,of2,of5,of3,ss2
541,p1,ut1,b2a,b3a,ss2,of1,of5,of2,ut2
542,p2,ut1,b2a,b3b,ss2,of5,of2,of4,b3a
543,p2,c1,ut2,b3a,ss2,of5,of2,of3,ss1
544,p1,ut1,b2b,b3b,ut3,of2,of1,of4,b2a
545,p1,ut1,b2a,b3b,ss1,of2,of5,of4,c1
546,p2,c2,b2b,b3a,ss2,of1,of5,of2,ut1
547,p1,c2,b2b,b3b,ss2,of3,of5,of2,c1
548,p1,c2,b2b,b3b,ss2,of1,of5,of3,ut1
549,p1,ut1,b2b,b3a,ss2,of1,of2,of3,of4
550,p2,c2,b2b,b3b,ss1,of1,of4,of2,of5
551,p1,c2,ut2,b3a,ss1,of5,of1,of3,b2b
552,p1,c2,ut2,b3a,ss2,of1,of3,of2,c1
553,p1,c1,b2b,b3a,ss1,of2,of4,of5,ut3
554,p2,ut1,b2a,b3b,ss2,of5,of2,of3,b3a
555,p1,ut1,b2b,b3a,ss2,of5,of2,of1,c2
556,p2,c1,ut2,b3a,ut3,of1,of5,of3,ss1
557,p1,c1,ut2,b3b,ss2,of3,of5,of1,ut3
558,p2,c2,b2a,b3a,ss1,of2,of1,of5,of4
559,p1,c2,b2b,b3b,ss2,of4,of5,of3,ut1
560,p1,c1,b2a,b3a,ss2,of5,of4,of2,b2b
561,p1,c2,b2b,b3b,ss2,of3,of5,of2,ut3
562,p1,ut1,ut2,b3b,ss2,of1,of2,of3,ss1
563,p2,ut1,ut2,b3b,ut3,of3,of4,of1,b2b
564,p2,c1,b2b,b3b,ss1,of1,of2,of4,b2a
565,p1,ut1,b2b,b3a,ss1,of5,of4,of1,c2
566,p1,c2,b2a,b3a,ss2,of2,of3,of1,ut3
567,p2,ut1,b2a,b3b,ss1,of1,of2,of3,c1
568,p1,ut1,ut2,b3a,ss1,of1,of2,of5,ss2
569,p2,c1,b2a,b3b,ss2,of2,of5,of1,of3
570,p1,c2,b2b,b3b,ss1,of2,of3,of4,c1
571,p2,c2,b2b,b3b,ss1,of2,of3,of5,ut1
572,p1,c2,b2b,b3a,ss2,of3,of1,of4,ut3
573,p1,c2,b2a,b3b,ss2,of1,of5,of2,of3
574,p1,c1,ut2,b3b,ss1,of2,of5,of4,of1
575,p2,ut1,ut2,b3a,ss2,of3,of2,of5,b2b
576,p2,ut1,b2a,b3b,ss1,of2,of1,of4,b2b
577,p1,c2,b2a,b3b,ss2,of2,of4,of1,ut3
578,p1,c1,b2a,b3a,ss2,of2,of5,of3,ut1
579,p1,c1,b2b,b3a,ss1,of1,of3,of5,c2
580,p1,c1,ut2,b3a,ut3,of2,of5,of4,ss2
581,p2,c1,b2a,b3b,ss2,of3,of5,of1,ss1
582,p1,c2,ut2,b3b,ss2,of2,of5,of4,ss1
583,p2,c2,b2b,b3b,ss1,of2,of5,of3,of1
584,p1,c1,b2b,b3a,ss2,of2,of4,of5,ut3
585,p2,c1,b2a,b3a,ss2,of2,of5,of3,ut1
586,p2,ut1,ut2,b3b,ut3,of3,of2,of1,ss2
587,p2,c2,b2b,b3b,ss1,of1,of2,of4,b2a
588,p1,c2,ut2,b3a,ss1,of5,of2,of3,b2b
589,p2,c2,b2b,b3a,ss1,of1,of3,of4,ss2
590,p2,c2,b2b,b3b,ss1,of2,of5,of1,ut3
591,p2,ut1,b2a,b3a,ss2,of4,of1,of5,of3
592,p2,c1,b2b,b3a,ut3,of4,of1,of5,ss1
593,p1,ut1,b2a,b3b,ss2,of1,of5,of2,ut2
594,p1,c1,b2a,b3b,ss2,of2,of3,of4,c2
595,p2,c1,b2b,b3b,ut3,of2,of3,of5,b3a
596,p2,c1,b2b,b3b,ss2,of3,of2,of5,ss1
597,p1,ut1,b2a,b3a,ss1,of2,of3,of1,ss2
598,p1,ut1,b2a,b3a,ut3,of2,of3,of5,ut2
599,p2,c2,b2a,b3a,ss1,of2,of1,of3,b2b
600,p2,c1,ut2,b3b,ss2,of2,of4,of3,ut1
601,p2,c2,b2a,b3b,ss1,of1,of3,of5,b3a
602,p1,ut1,ut2,b3b,ut3,of3,of2,of1,c1
603,p1,c2,b2a,b3a,ut3,of1,of3,of5,ut1
604,p2,c1,b2b,b3b,ss2,of2,of5,of3,ut2
605,p1,c2,b2b,b3b,ss1,of2,of3,of5,ut3
606,p2,c2,ut2,b3b,ss2,of2,of4,of3,ut1
607,p1,c2,b2b,b3a,ss2,of2,of3,of4,of1
608,p2,c1,b2a,b3b,ss1,of4,of5,of1,ut3
609,p2,c2,b2a,b3b,ss1,of1,of4,of5,b3a
610,p2,c1,ut2,b3a,ss2,of5,of2,of1,ss1
611,p2,c2,b2a,b3b,ss2,of4,of5,of1,ut1
612,p2,ut1,b2b,b3a,ss1,of1,of2,of3,ut3
613,p2,ut1,b2b,b3a,ss2,of1,of2,of3,b2a
614,p1,c1,ut2,b3b,ss1,of2,of5,of4,c2
615,p2,c2,ut2,b3a,ss2,of1,of3,of4,c1
616,p1,c2,b2b,b3b,ss1,of3,of5,of2,c1
617,p2,ut1,b2a,b3b,ss1,of1,of2,of4,b3a
618,p1,c1,b2b,b3b,ut3,of2,of5,of3,ut1
619,p1,c1,ut2,b3b,ss1,of3,of4,of2,b2a
620,p1,c2,b2a,b3a,ss2,of4,of5,of1,ut3
621,p1,c2,b2a,b3b,ss2,of5,of4,of3,b2b
622,p2,c2,b2a,b3a,ss2,of1,of5,of2,c1
623,p1,c1,b2a,b3b,ss1,of3,of5,of2,ut3
624,p2,c1,b2b,b3b,ss1,of4,of2,of5,b3a
625,p1,c1,b2b,b3b,ss2,of2,of3,of5,b3a
626,p1,ut1,ut2,b3b,ss2,of4,of1,of3,of5
627,p2,c1,ut2,b3b,ss2,of1,of4,of5,ss1
628,p2,ut1,b2b,b3a,ss2,of4,of2,of5,of3
629,p2,c1,b2a,b3b,ss1,of3,of2,of1,ut3
630,p2,c1,b2b,b3b,ss1,of1,of2,of4,b3a
631,p2,c1,b2b,b3a,ut3,of1,of2,of5,ut1
632,p2,c2,b2b,b3a,ut3,of1,of2,of4,c1
633,p2,c2,b2a,b3b,ut3,of1,of4,of2,c1
634,p1,c1,b2a,b3b,ss1,of5,of3,of4,b2b
635,p1,ut1,ut2,b3a,ss1,of2,of1,of4,b2a
636,p2,c1,ut2,b3b,ut3,of2,of4,of3,ut1
637,p2,c2,ut2,b3a,ss2,of1,of3,of2,of4
638,p2,c1,ut2,b3a,ut3,of5,of2,of3,ss1
639,p2,c2,b2b,b3a,ss2,of5,of1,of3,ss1
640,p2,ut1,ut2,b3a,ss1,of1,of2,of4,c2
641,p1,c1,b2a,b3a,ss2,of3,of5,of2,ss1
642,p1,c2,b2a,b3a,ss2,of2,of5,of3,ut3
643,p1,c2,b2a,b3a,ss2,of1,of3,of5,of4
644,p2,c2,ut2,b3a,ss1,of3,of1,of4,b2b
645,p1,ut1,b2a,b3b,ut3,of2,of1,of5,c1
646,p2,c1,b2b,b3b,ss2,of1,of2,of4,ut1
647,p1,c1,b2b,b3a,ss1,of2,of3,of1,ut2
648,p1,ut1,b2b,b3a,ss1,of2,of4,of1,of5
649,p1,c1,b2a,b3a,ss1,of2,of4,of5,ss2
650,p2,c2,b2a,b3b,ss1,of2,of5,of3,ss2
651,p2,ut1,b2a,b3b,ss2,of4,of1,of5,of3
652,p1,ut1,ut2,b3b,ut3,of3,of5,of4,c1
653,p1,c1,ut2,b3b,ss2,of1,of3,of2,ut3
654,p1,c2,b2b,b3b,ss2,of2,of5,of4,c1
655,p1,ut1,b2a,b3b,ut3,of2,of5,of4,c1
656,p1,c2,b2a,b3b,ut3,of1,of5,of4,b3a
657,p1,ut1,b2a,b3a,ut3,of2,of4,of5,b3b
658,p2,c1,b2a,b3a,ss1,of2,of1,of5,b2b
659,p1,ut1,b2a,b3b,ss1,of2,of4,of3,of5
660,p2,c1,ut2,b3b,ss1,of2,of5,of4,c2
661,p1,ut1,b2a,b3b,ss1,of1,of3,of4,b2b
662,p2,c2,b2b,b3b,ut3,of5,of2,of4,ut1
663,p1,c1,b2a,b3a,ss2,of5,of1,of4,ut1
664,p2,ut1,b2a,b3b,ss1,of2,of5,of4,c1
665,p2,c2,ut2,b3b,ss1,of3,of5,of1,b3a
666,p2,ut1,b2a,b3a,ss1,of2,of1,of3,b2b
667,p2,c1,ut2,b3b,ut3,of1,of5,of4,b2a
668,p2,c1,b2a,b3b,ss1,of1,of4,of5,b2b
669,p1,ut1,b2b,b3a,ut3,of2,of3,of5,ut2
670,p2,c2,b2b,b3b,ss1,of2,of4,of3,of1
671,p1,c2,b2a,b3b,ss2,of4,of5,of2,ut3
672,p2,c2,b2a,b3a,ut3,of2,of1,of5,ut1
673,p2,c1,ut2,b3b,ss1,of1,of4,of5,b2b
674,p1,c1,b2a,b3b,ss2,of3,of5,of2,ut3
675,p1,c1,b2b,b3b,ss1,of4,of5,of1,ut3
676,p2,c1,ut2,b3b,ss1,of1,of3,of2,b2b
677,p1,c1,ut2,b3b,ss2,of3,of1,of4,of5
678,p2,c1,ut2,b3a,ss2,of4,of2,of1,ss1
679,p1,c2,b2b,b3b,ss2,of1,of4,of5,b3a
680,p1,c1,ut2,b3a,ss2,of5,of4,of2,b2b
681,p1,c2,b2a,b3a,ut3,of3,of1,of2,b2b
682,p2,ut1,b2b,b3a,ss2,of1,of2,of3,of4
683,p2,c1,ut2,b3a,ss2,of1,of2,of4,b3b
684,p2,c1,b2b,b3b,ut3,of1,of3,of5,b3a
685,p2,ut1,b2a,b3b,ss2,of2,of1,of5,of3
686,p2,ut1,b2a,b3a,ss1,of2,of1,of3,ut2
687,p2,ut1,ut2,b3a,ss2,of1,of2,of3,ss1
688,p2,c2,ut2,b3b,ss1,of1,of2,of4,of5
689,p1,ut1,b2a,b3a,ut3,of2,of1,of4,ut2
690,p1,c1,b2a,b3b,ss2,of2,of4,of1,ut1
691,p2,ut1,b2a,b3b,ut3,of3,of2,of1,c1
692,p2,c2,b2b,b3a,ss1,of1,of2,of5,ut1
693,p1,c1,ut2,b3b,ut3,of2,of4,of3,ut1
694,p1,c2,ut2,b3b,ss1,of3,of4,of1,c1
695,p2,c2,b2a,b3a,ut3,of5,of3,of2,ut1
696,p2,c2,b2b,b3a,ut3,of1,of2,of5,c1
697,p2,c1,b2b,b3a,ut3,of2,of1,of5,ss1
698,p1,ut1,b2a,b3a,ss1,of1,of5,of3,c1
699,p2,c1,b2b,b3a,ss1,of1,of3,of2,ut1
700,p2,c1,b2a,b3a,ss2,of1,of4,of2,ut1
701,p1,c1,b2b,b3b,ut3,of1,of4,of5,b3a
702,p1,c1,ut2,b3a,ut3,of1,of4,of2,ut1
703,p1,c2,b2a,b3b,ss2,of2,of5,of3,ut1
704,p1,c2,ut2,b3b,ss2,of2,of5,of3,ss1
705,p2,c1,b2b,b3b,ss2,of1,of2,of4,ss1
706,p1,c1,b2b,b3b,ut3,of1,of5,of3,ut1
707,p1,ut1,b2b,b3b,ut3,of4,of3,of1,c1
708,p2,c1,b2b,b3a,ss1,of3,of4,of5,c2
709,p2,c2,ut2,b3a,ss2,of1,of3,of2,c1
710,p2,c1,b2a,b3b,ss1,of1,of3,of2,b2b
711,p1,c2,ut2,b3b,ut3,of3,of5,of1,c1
712,p2,c1,b2b,b3a,ss2,of1,of4,of2,ut1
713,p2,c1,b2a,b3b,ut3,of3,of5,of1,ss1
714,p1,ut1,b2a,b3b,ss1,of2,of1,of4,of3
715,p2,ut1,b2b,b3a,ss1,of1,of5,of4,ut3
716,p2,ut1,b2a,b3b,ut3,of3,of5,of1,c1
717,p1,c1,ut2,b3b,ss1,of2,of5,of1,ut3
718,p1,c2,b2a,b3a,ss1,of3,of1,of5,c1
719,p1,c1,b2b,b3a,ss2,of2,of1,of5,b2a
720,p2,c2,b2b,b3a,ut3,of5,of2,of4,c1
721,p2,c1,b2b,b3b,ut3,of4,of2,of5,ss1
722,p2,c2,b2b,b3b,ss1,of1,of3,of4,c1
723,p1,ut1,b2b,b3b,ut3,of5,of1,of4,c2
724,p2,c1,b2a,b3a,ss1,of1,of2,of5,b3b
725,p1,c2,b2a,b3a,ss1,of3,of4,of2,ut1
726,p2,c1,b2a,b3a,ss1,of1,of2,of4,b3b
727,p1,c2,b2b,b3b,ss2,of4,of2,of3,ut1
728,p1,ut1,b2a,b3a,ss2,of1,of5,of4,c2
729,p1,c1,b2a,b3a,ss1,of2,of5,of4,of1
730,p2,c2,b2a,b3b,ss1,of4,of5,of3,ut1
731,p2,ut1,b2a,b3b,ss2,of1,of2,of5,b3a
732,p2,c2,b2a,b3a,ss1,of5,of3,of4,ut1
733,p1,c1,ut2,b3a,ss2,of1,of4,of2,b2a
734,p1,ut1,b2b,b3a,ss1,of4,of3,of1,of5
735,p2,ut1,b2b,b3a,ut3,of1,of2,of3,ss2
736,p2,c1,b2b,b3a,ss2,of1,of2,of5,ut1
737,p2,c2,b2b,b3b,ss1,of2,of4,of1,ut2
738,p2,ut1,b2b,b3b,ss2,of4,of2,of5,of3
739,p2,c2,b2b,b3a,ut3,of3,of5,of4,ss2
740,p1,ut1,b2a,b3b,ut3,of2,of3,of4,ut2
741,p1,ut1,b2a,b3b,ut3,of1,of2,of4,c1
742,p2,c2,ut2,b3b,ss1,of1,of2,of4,b2a
743,p1,c1,ut2,b3a,ss1,of2,of5,of3,of1
744,p2,c2,b2a,b3a,ss2,of5,of3,of2,of4
745,p2,c1,ut2,b3a,ss2,of1,of3,of2,of4
746,p2,ut1,b2b,b3a,ss1,of1,of3,of5,of2
747,p1,c1,ut2,b3a,ss2,of2,of5,of3,of1
748,p2,ut1,b2a,b3a,ss1,of2,of4,of5,b3b
749,p2,c2,b2a,b3b,ut3,of1,of4,of5,c1
750,p2,ut1,ut2,b3b,ss2,of1,of2,of5,b3a
751,p2,c2,b2a,b3b,ss2,of3,of5,of2,ut3
752,p2,c2,ut2,b3b,ss1,of4,of5,of1,c1
753,p2,c2,b2b,b3b,ut3,of1,of2,of4,c1
754,p2,c1,b2a,b3b,ss1,of4,of5,of3,ut1
755,p1,c2,b2b,b3a,ss2,of2,of3,of4,of5
756,p1,c2,b2a,b3b,ss2,of2,of5,of1,ut3
757,p2,c2,b2b,b3b,ss1,of2,of5,of1,ss2
758,p1,c1,ut2,b3b,ss2,of4,of5,of1,ut3
759,p2,c2,b2b,b3a,ss1,of4,of5,of1,ut2
760,p1,ut1,ut2,b3a,ss2,of1,of4,of2,of5
761,p1,ut1,b2b,b3b,ut3,of2,of1,of3,b2a
762,p2,ut1,b2a,b3b,ss2,of1,of2,of3,of4
763,p1,c2,ut2,b3a,ss2,of2,of3,of4,of5
764,p2,c1,b2b,b3b,ss2,of2,of4,of1,b3a
765,p1,c2,b2b,b3b,ss1,of3,of2,of4,ut3
766,p1,ut1,b2a,b3a,ss2,of2,of5,of4,b3b
767,p2,ut1,ut2,b3a,ss2,of1,of2,of4,ut3
768,p1,c1,ut2,b3a,ut3,of5,of4,of2,b2b
769,p2,c2,b2a,b3b,ut3,of1,of3,of2,ut1
770,p2,ut1,b2b,b3b,ss2,of4,of2,of3,ss1
771,p2,c1,b2a,b3a,ss2,of4,of2,of5,ss1
772,p2,c1,b2a,b3a,ss1,of3,of1,of5,b2b
773,p2,c2,b2a,b3b,ut3,of1,of4,of3,of5
774,p2,c2,ut2,b3b,ss1,of3,of1,of4,ss2
775,p2,ut1,b2a,b3b,ss2,of1,of2,of5,of4
776,p2,ut1,b2a,b3b,ss2,of5,of1,of3,b3a
777,p2,c1,b2b,b3a,ss1,of4,of5,of3,ut2
778,p1,c2,ut2,b3b,ss1,of4,of3,of2,b2b
779,p2,c2,b2a,b3a,ut3,of3,of1,of2,b2b
780,p2,c2,ut2,b3a,ss1,of1,of3,of2,of5
781,p1,ut1,b2b,b3a,ss2,of5,of2,of1,ut3
782,p2,c2,b2a,b3a,ss2,of3,of1,of4,b2b
783,p2,c1,b2b,b3b,ss2,of3,of4,of2,b2a
784,p2,c1,b2b,b3b,ss2,of2,of5,of3,ut3
785,p1,c1,ut2,b3b,ss1,of1,of5,of4,c2
786,p2,c1,b2b,b3a,ss2,of2,of5,of3,ut2
787,p2,c1,b2b,b3b,ss1,of1,of2,of3,of5
788,p1,c2,b2a,b3a,ss2,of1,of3,of5,b2b
789,p2,c1,b2b,b3a,ut3,of3,of2,of5,ut1
790,p2,c1,ut2,b3b,ss2,of3,of5,of1,ut3
791,p2,ut1,b2a,b3b,ut3,of2,of4,of3,of5
792,p2,c1,b2b,b3b,ss2,of2,of5,of1,ut1
793,p2,ut1,b2a,b3b,ss2,of2,of4,of5,ut3
794,p2,ut1,ut2,b3a,ss1,of1,of5,of4,ut3
795,p1,c2,ut2,b3a,ss1,of1,of4,of3,ut1
796,p2,ut1,b2a,b3a,ss2,of1,of3,of2,of4
797,p2,c1,b2a,b3b,ss2,of1,of2,of4,ut1
798,p1,c1,b2a,b3a,ut3,of2,of1,of5,b2b
799,p1,c2,b2b,b3b,ss2,of2,of5,of3,ut1
800,p1,ut1,b2a,b3b,ut3,of2,of1,of3,ut2
801,p2,c1,b2b,b3b,ss2,of2,of4,of1,c2
802,p1,c1,b2a,b3a,ss1,of2,of4,of5,c2
803,p1,ut1,b2b,b3a,ss2,of4,of3,of1,of5
804,p1,c2,ut2,b3b,ss2,of1,of4,of5,b3a
805,p2,c2,b2b,b3b,ss2,of4,of5,of1,ss1
806,p2,ut1,b2a,b3a,ss2,of3,of2,of5,b2b
807,p2,ut1,b2b,b3b,ut3,of2,of4,of5,b3a
808,p1,c2,b2b,b3b,ut3,of3,of2,of4,c1
809,p1,c2,b2a,b3a,ut3,of2,of1,of3,ut2
810,p2,c1,ut2,b3b,ss2,of3,of1,of4,of2
811,p1,c2,ut2,b3a,ss2,of1,of2,of5,ut3
812,p1,ut1,b2a,b3a,ss2,of1,of5,of4,ut3
813,p1,ut1,b2a,b3b,ss2,of2,of1,of3,ut3
814,p1,ut1,ut2,b3b,ss2,of1,of4,of2,of5
815,p2,ut1,ut2,b3b,ss1,of1,of4,of3,b2b
816,p2,c1,b2a,b3a,ss2,of1,of5,of4,c2
817,p1,c1,ut2,b3b,ut3,of1,of5,of4,b2a
818,p1,c2,b2a,b3b,ss1,of2,of5,of1,ut3
819,p1,ut1,b2a,b3b,ss2,of2,of4,of3,ut3
820,p1,c1,b2b,b3a,ss2,of4,of3,of1,of5
821,p2,c2,b2a,b3a,ss2,of5,of1,of4,b2b
822,p1,ut1,b2b,b3b,ss2,of2,of5,of4,ut2
823,p2,c2,b2b,b3b,ss1,of2,of3,of5,of4
824,p2,c1,b2a,b3a,ss1,of5,of3,of1,ut1
825,p1,c1,ut2,b3b,ss1,of5,of3,of4,b2b
826,p2,c2,b2a,b3b,ss2,of1,of4,of5,c1
827,p1,ut1,b2a,b3b,ut3,of2,of1,of4,ut2
828,p1,c1,b2b,b3b,ut3,of1,of4,of2,of5
829,p1,c1,ut2,b3a,ss2,of1,of2,of4,b3b
830,p2,c2,b2a,b3b,ss1,of3,of4,of1,of2
831,p1,ut1,b2a,b3b,ss1,of2,of3,of4,ut2
832,p1,c1,b2a,b3a,ss1,of5,of1,of2,b2b
833,p2,c2,b2b,b3a,ut3,of3,of2,of5,ut1
834,p1,c2,b2a,b3b,ss1,of1,of3,of2,ut1
835,p1,c2,b2a,b3a,ss1,of2,of3,of4,of1
836,p2,c2,b2a,b3b,ss1,of1,of4,of5,c1
837,p2,c2,ut2,b3b,ss1,of3,of2,of1,c1
838,p2,c1,ut2,b3b,ss1,of2,of5,of4,b3a
839,p2,ut1,b2b,b3b,ut3,of1,of4,of2,of5
840,p2,c2,b2b,b3a,ut3,of1,of3,of4,ut1
841,p1,c1,b2b,b3a,ss1,of2,of3,of5,ut2
842,p1,c1,ut2,b3a,ss2,of1,of4,of5,ss1
843,p2,c2,ut2,b3a,ss2,of1,of2,of4,b3b
844,p1,ut1,ut2,b3b,ss1,of2,of1,of4,of3
845,p2,c2,ut2,b3a,ss2,of3,of1,of4,b2b
